"1" "counter" "POPULATION_SIZE" "NUMBER_VACCINATED" "NUMBER_INFECTIOUS" "LENGTH_OF_ACUTE" "ACUTE_TO_CHRONIC" "BETA_SUSCEPTIBLE" "power" "edge" "VACCINATION_STRATEGY" "VACCINATION_TIME" "max.infected" "time.of.max.infected" "end.susceptible" "max.change" "time.of.max.change" "frame"
"1" "0" "1000" "0" "10" "3" "0.12" "0.25" "0" "1" "random" "beginning" "105" "-1" "723" "19" "8" "41"
"1" "0" "1000" "0" "10" "3" "0.12" "0.25" "0" "1" "random" "beginning" "101" "-1" "678" "21" "4" "41"
"1" "0" "1000" "0" "10" "3" "0.12" "0.25" "0" "1" "random" "beginning" "74" "-1" "772" "11" "7" "38"
"1" "0" "1000" "0" "10" "3" "0.12" "0.25" "0" "1" "random" "beginning" "83" "-1" "736" "17" "13" "42"
"1" "0" "1000" "0" "10" "3" "0.12" "0.25" "0" "1" "random" "beginning" "84" "-1" "762" "16" "9" "38"
"1" "0" "1000" "0" "10" "3" "0.12" "0.25" "0" "1" "random" "beginning" "90" "-1" "689" "14" "8" "52"
"1" "0" "1000" "0" "10" "3" "0.12" "0.25" "0" "1" "random" "beginning" "90" "-1" "722" "15" "7" "53"
"1" "0" "1000" "0" "10" "3" "0.12" "0.25" "0" "1" "random" "beginning" "82" "-1" "711" "12" "8" "50"
"1" "0" "1000" "0" "10" "3" "0.12" "0.25" "0" "1" "random" "beginning" "119" "-1" "699" "21" "7" "46"
"1" "0" "1000" "0" "10" "3" "0.12" "0.25" "0" "1" "random" "beginning" "88" "-1" "687" "24" "3" "49"
"1" "1" "1000" "0" "10" "3" "0.12" "0.25" "0" "2" "random" "beginning" "460" "-1" "64" "107" "6" "35"
"1" "1" "1000" "0" "10" "3" "0.12" "0.25" "0" "2" "random" "beginning" "477" "-1" "58" "104" "6" "43"
"1" "1" "1000" "0" "10" "3" "0.12" "0.25" "0" "2" "random" "beginning" "450" "-1" "76" "98" "6" "38"
"1" "1" "1000" "0" "10" "3" "0.12" "0.25" "0" "2" "random" "beginning" "468" "-1" "65" "102" "6" "40"
"1" "1" "1000" "0" "10" "3" "0.12" "0.25" "0" "2" "random" "beginning" "475" "-1" "83" "117" "6" "39"
"1" "1" "1000" "0" "10" "3" "0.12" "0.25" "0" "2" "random" "beginning" "470" "-1" "57" "110" "6" "48"
"1" "1" "1000" "0" "10" "3" "0.12" "0.25" "0" "2" "random" "beginning" "456" "-1" "80" "107" "7" "46"
"1" "1" "1000" "0" "10" "3" "0.12" "0.25" "0" "2" "random" "beginning" "456" "-1" "89" "110" "5" "37"
"1" "1" "1000" "0" "10" "3" "0.12" "0.25" "0" "2" "random" "beginning" "466" "-1" "78" "113" "7" "40"
"1" "1" "1000" "0" "10" "3" "0.12" "0.25" "0" "2" "random" "beginning" "465" "-1" "83" "115" "7" "46"
"1" "2" "1000" "0" "10" "3" "0.12" "0.25" "0.1" "1" "random" "beginning" "133" "-1" "603" "31" "8" "69"
"1" "2" "1000" "0" "10" "3" "0.12" "0.25" "0.1" "1" "random" "beginning" "68" "-1" "709" "10" "4" "56"
"1" "2" "1000" "0" "10" "3" "0.12" "0.25" "0.1" "1" "random" "beginning" "76" "-1" "725" "14" "7" "48"
"1" "2" "1000" "0" "10" "3" "0.12" "0.25" "0.1" "1" "random" "beginning" "85" "-1" "738" "12" "3" "39"
"1" "2" "1000" "0" "10" "3" "0.12" "0.25" "0.1" "1" "random" "beginning" "73" "-1" "760" "12" "4" "44"
"1" "2" "1000" "0" "10" "3" "0.12" "0.25" "0.1" "1" "random" "beginning" "87" "-1" "672" "14" "8" "58"
"1" "2" "1000" "0" "10" "3" "0.12" "0.25" "0.1" "1" "random" "beginning" "114" "-1" "634" "17" "2" "45"
"1" "2" "1000" "0" "10" "3" "0.12" "0.25" "0.1" "1" "random" "beginning" "144" "-1" "575" "18" "12" "46"
"1" "2" "1000" "0" "10" "3" "0.12" "0.25" "0.1" "1" "random" "beginning" "89" "-1" "713" "17" "8" "45"
"1" "2" "1000" "0" "10" "3" "0.12" "0.25" "0.1" "1" "random" "beginning" "102" "-1" "733" "18" "9" "41"
"1" "3" "1000" "0" "10" "3" "0.12" "0.25" "0.1" "2" "random" "beginning" "457" "-1" "60" "108" "5" "33"
"1" "3" "1000" "0" "10" "3" "0.12" "0.25" "0.1" "2" "random" "beginning" "462" "-1" "67" "107" "6" "41"
"1" "3" "1000" "0" "10" "3" "0.12" "0.25" "0.1" "2" "random" "beginning" "450" "-1" "76" "111" "8" "37"
"1" "3" "1000" "0" "10" "3" "0.12" "0.25" "0.1" "2" "random" "beginning" "475" "-1" "79" "115" "6" "37"
"1" "3" "1000" "0" "10" "3" "0.12" "0.25" "0.1" "2" "random" "beginning" "487" "-1" "44" "100" "7" "38"
"1" "3" "1000" "0" "10" "3" "0.12" "0.25" "0.1" "2" "random" "beginning" "496" "-1" "70" "113" "5" "38"
"1" "3" "1000" "0" "10" "3" "0.12" "0.25" "0.1" "2" "random" "beginning" "493" "-1" "65" "113" "7" "42"
"1" "3" "1000" "0" "10" "3" "0.12" "0.25" "0.1" "2" "random" "beginning" "486" "-1" "69" "107" "6" "39"
"1" "3" "1000" "0" "10" "3" "0.12" "0.25" "0.1" "2" "random" "beginning" "447" "-1" "75" "100" "5" "39"
"1" "3" "1000" "0" "10" "3" "0.12" "0.25" "0.1" "2" "random" "beginning" "475" "-1" "59" "103" "7" "48"
"1" "4" "1000" "0" "10" "3" "0.12" "0.25" "0.2" "1" "random" "beginning" "76" "-1" "775" "9" "16" "44"
"1" "4" "1000" "0" "10" "3" "0.12" "0.25" "0.2" "1" "random" "beginning" "108" "-1" "631" "19" "4" "43"
"1" "4" "1000" "0" "10" "3" "0.12" "0.25" "0.2" "1" "random" "beginning" "120" "-1" "601" "23" "4" "45"
"1" "4" "1000" "0" "10" "3" "0.12" "0.25" "0.2" "1" "random" "beginning" "72" "-1" "784" "10" "7" "40"
"1" "4" "1000" "0" "10" "3" "0.12" "0.25" "0.2" "1" "random" "beginning" "107" "-1" "670" "10" "6" "47"
"1" "4" "1000" "0" "10" "3" "0.12" "0.25" "0.2" "1" "random" "beginning" "117" "-1" "683" "13" "5" "48"
"1" "4" "1000" "0" "10" "3" "0.12" "0.25" "0.2" "1" "random" "beginning" "145" "-1" "534" "19" "4" "49"
"1" "4" "1000" "0" "10" "3" "0.12" "0.25" "0.2" "1" "random" "beginning" "85" "-1" "716" "11" "5" "55"
"1" "4" "1000" "0" "10" "3" "0.12" "0.25" "0.2" "1" "random" "beginning" "75" "-1" "672" "15" "5" "46"
"1" "4" "1000" "0" "10" "3" "0.12" "0.25" "0.2" "1" "random" "beginning" "77" "-1" "772" "10" "2" "46"
"1" "5" "1000" "0" "10" "3" "0.12" "0.25" "0.2" "2" "random" "beginning" "492" "-1" "67" "119" "6" "35"
"1" "5" "1000" "0" "10" "3" "0.12" "0.25" "0.2" "2" "random" "beginning" "480" "-1" "77" "115" "7" "45"
"1" "5" "1000" "0" "10" "3" "0.12" "0.25" "0.2" "2" "random" "beginning" "460" "-1" "78" "115" "8" "39"
"1" "5" "1000" "0" "10" "3" "0.12" "0.25" "0.2" "2" "random" "beginning" "451" "-1" "69" "90" "6" "38"
"1" "5" "1000" "0" "10" "3" "0.12" "0.25" "0.2" "2" "random" "beginning" "495" "-1" "73" "103" "6" "44"
"1" "5" "1000" "0" "10" "3" "0.12" "0.25" "0.2" "2" "random" "beginning" "501" "-1" "77" "117" "7" "40"
"1" "5" "1000" "0" "10" "3" "0.12" "0.25" "0.2" "2" "random" "beginning" "441" "-1" "64" "88" "7" "39"
"1" "5" "1000" "0" "10" "3" "0.12" "0.25" "0.2" "2" "random" "beginning" "497" "-1" "92" "127" "6" "42"
"1" "5" "1000" "0" "10" "3" "0.12" "0.25" "0.2" "2" "random" "beginning" "489" "-1" "59" "113" "6" "38"
"1" "5" "1000" "0" "10" "3" "0.12" "0.25" "0.2" "2" "random" "beginning" "457" "-1" "83" "99" "8" "42"
"1" "6" "1000" "0" "10" "3" "0.12" "0.25" "0.3" "1" "random" "beginning" "90" "-1" "690" "17" "3" "49"
"1" "6" "1000" "0" "10" "3" "0.12" "0.25" "0.3" "1" "random" "beginning" "99" "-1" "712" "22" "3" "41"
"1" "6" "1000" "0" "10" "3" "0.12" "0.25" "0.3" "1" "random" "beginning" "80" "-1" "800" "13" "12" "44"
"1" "6" "1000" "0" "10" "3" "0.12" "0.25" "0.3" "1" "random" "beginning" "113" "-1" "701" "22" "6" "37"
"1" "6" "1000" "0" "10" "3" "0.12" "0.25" "0.3" "1" "random" "beginning" "90" "-1" "674" "14" "6" "41"
"1" "6" "1000" "0" "10" "3" "0.12" "0.25" "0.3" "1" "random" "beginning" "158" "-1" "604" "27" "10" "43"
"1" "6" "1000" "0" "10" "3" "0.12" "0.25" "0.3" "1" "random" "beginning" "79" "-1" "763" "16" "6" "47"
"1" "6" "1000" "0" "10" "3" "0.12" "0.25" "0.3" "1" "random" "beginning" "105" "-1" "721" "21" "3" "38"
"1" "6" "1000" "0" "10" "3" "0.12" "0.25" "0.3" "1" "random" "beginning" "103" "-1" "744" "19" "9" "39"
"1" "6" "1000" "0" "10" "3" "0.12" "0.25" "0.3" "1" "random" "beginning" "50" "-1" "854" "9" "3" "42"
"1" "7" "1000" "0" "10" "3" "0.12" "0.25" "0.3" "2" "random" "beginning" "436" "-1" "87" "103" "6" "42"
"1" "7" "1000" "0" "10" "3" "0.12" "0.25" "0.3" "2" "random" "beginning" "476" "-1" "80" "121" "5" "36"
"1" "7" "1000" "0" "10" "3" "0.12" "0.25" "0.3" "2" "random" "beginning" "457" "-1" "75" "90" "5" "43"
"1" "7" "1000" "0" "10" "3" "0.12" "0.25" "0.3" "2" "random" "beginning" "479" "-1" "85" "111" "6" "42"
"1" "7" "1000" "0" "10" "3" "0.12" "0.25" "0.3" "2" "random" "beginning" "512" "-1" "74" "115" "7" "38"
"1" "7" "1000" "0" "10" "3" "0.12" "0.25" "0.3" "2" "random" "beginning" "468" "-1" "75" "108" "6" "38"
"1" "7" "1000" "0" "10" "3" "0.12" "0.25" "0.3" "2" "random" "beginning" "480" "-1" "71" "122" "6" "46"
"1" "7" "1000" "0" "10" "3" "0.12" "0.25" "0.3" "2" "random" "beginning" "469" "-1" "76" "105" "7" "37"
"1" "7" "1000" "0" "10" "3" "0.12" "0.25" "0.3" "2" "random" "beginning" "453" "-1" "78" "96" "6" "43"
"1" "7" "1000" "0" "10" "3" "0.12" "0.25" "0.3" "2" "random" "beginning" "512" "-1" "74" "110" "7" "37"
"1" "8" "1000" "0" "10" "3" "0.12" "0.25" "0.4" "1" "random" "beginning" "127" "-1" "646" "28" "5" "58"
"1" "8" "1000" "0" "10" "3" "0.12" "0.25" "0.4" "1" "random" "beginning" "96" "-1" "649" "17" "4" "40"
"1" "8" "1000" "0" "10" "3" "0.12" "0.25" "0.4" "1" "random" "beginning" "120" "-1" "616" "25" "4" "46"
"1" "8" "1000" "0" "10" "3" "0.12" "0.25" "0.4" "1" "random" "beginning" "125" "-1" "624" "19" "6" "42"
"1" "8" "1000" "0" "10" "3" "0.12" "0.25" "0.4" "1" "random" "beginning" "88" "-1" "776" "13" "8" "40"
"1" "8" "1000" "0" "10" "3" "0.12" "0.25" "0.4" "1" "random" "beginning" "104" "-1" "732" "15" "9" "42"
"1" "8" "1000" "0" "10" "3" "0.12" "0.25" "0.4" "1" "random" "beginning" "144" "-1" "615" "17" "8" "44"
"1" "8" "1000" "0" "10" "3" "0.12" "0.25" "0.4" "1" "random" "beginning" "85" "-1" "724" "14" "7" "44"
"1" "8" "1000" "0" "10" "3" "0.12" "0.25" "0.4" "1" "random" "beginning" "90" "-1" "761" "23" "4" "37"
"1" "8" "1000" "0" "10" "3" "0.12" "0.25" "0.4" "1" "random" "beginning" "147" "-1" "611" "26" "4" "45"
"1" "9" "1000" "0" "10" "3" "0.12" "0.25" "0.4" "2" "random" "beginning" "471" "-1" "81" "120" "6" "49"
"1" "9" "1000" "0" "10" "3" "0.12" "0.25" "0.4" "2" "random" "beginning" "423" "-1" "95" "92" "6" "35"
"1" "9" "1000" "0" "10" "3" "0.12" "0.25" "0.4" "2" "random" "beginning" "506" "-1" "69" "126" "6" "35"
"1" "9" "1000" "0" "10" "3" "0.12" "0.25" "0.4" "2" "random" "beginning" "485" "-1" "73" "121" "8" "41"
"1" "9" "1000" "0" "10" "3" "0.12" "0.25" "0.4" "2" "random" "beginning" "451" "-1" "71" "112" "6" "45"
"1" "9" "1000" "0" "10" "3" "0.12" "0.25" "0.4" "2" "random" "beginning" "497" "-1" "71" "119" "6" "37"
"1" "9" "1000" "0" "10" "3" "0.12" "0.25" "0.4" "2" "random" "beginning" "461" "-1" "104" "109" "6" "36"
"1" "9" "1000" "0" "10" "3" "0.12" "0.25" "0.4" "2" "random" "beginning" "478" "-1" "87" "112" "6" "35"
"1" "9" "1000" "0" "10" "3" "0.12" "0.25" "0.4" "2" "random" "beginning" "498" "-1" "82" "116" "6" "41"
"1" "9" "1000" "0" "10" "3" "0.12" "0.25" "0.4" "2" "random" "beginning" "466" "-1" "77" "115" "5" "37"
"1" "10" "1000" "0" "10" "3" "0.12" "0.25" "0.5" "1" "random" "beginning" "118" "-1" "706" "22" "10" "39"
"1" "10" "1000" "0" "10" "3" "0.12" "0.25" "0.5" "1" "random" "beginning" "93" "-1" "739" "16" "11" "58"
"1" "10" "1000" "0" "10" "3" "0.12" "0.25" "0.5" "1" "random" "beginning" "70" "-1" "742" "15" "4" "49"
"1" "10" "1000" "0" "10" "3" "0.12" "0.25" "0.5" "1" "random" "beginning" "111" "-1" "603" "16" "10" "51"
"1" "10" "1000" "0" "10" "3" "0.12" "0.25" "0.5" "1" "random" "beginning" "113" "-1" "649" "23" "10" "41"
"1" "10" "1000" "0" "10" "3" "0.12" "0.25" "0.5" "1" "random" "beginning" "108" "-1" "662" "16" "5" "46"
"1" "10" "1000" "0" "10" "3" "0.12" "0.25" "0.5" "1" "random" "beginning" "128" "-1" "570" "24" "4" "53"
"1" "10" "1000" "0" "10" "3" "0.12" "0.25" "0.5" "1" "random" "beginning" "119" "-1" "715" "19" "7" "34"
"1" "10" "1000" "0" "10" "3" "0.12" "0.25" "0.5" "1" "random" "beginning" "59" "-1" "844" "13" "3" "38"
"1" "10" "1000" "0" "10" "3" "0.12" "0.25" "0.5" "1" "random" "beginning" "100" "-1" "672" "19" "7" "47"
"1" "11" "1000" "0" "10" "3" "0.12" "0.25" "0.5" "2" "random" "beginning" "485" "-1" "85" "112" "5" "35"
"1" "11" "1000" "0" "10" "3" "0.12" "0.25" "0.5" "2" "random" "beginning" "513" "-1" "65" "122" "7" "54"
